clean_city_data,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
80,Cherskiy,68.75,161.3,288.46,43,100,2.28,RU,1654968829
81,Thompson,55.7435,-97.8558,290.24,48,40,4.12,CA,1654968829
82,Nara,34.6851,135.8049,292.87,80,100,1.18,JP,1654968830
83,Kahului,20.8947,-156.47,298.62,76,20,7.2,US,1654968831
84,San Cristobal,7.7669,-72.225,299.25,48,99,3.26,VE,1654968831
85,Camopi,3.1655,-52.3158,299.97,88,99,1.13,GF,1654968832
86,Lagoa Nova,-6.1,-36.4833,300.2,52,62,5.39,BR,1654968833
87,Trenton,40.217,-74.7429,298.26,62,75,3.13,US,1654968833
88,Andra,62.5147,65.8878,286.58,88,83,2.96,RU,1654968834
89,Kloulklubed,7.0419,134.2556,297.43,69,19,2.23,PW,1654968835
90,Nantucket,41.2835,-70.0995,297.23,73,0,3.09,US,1654968836
91,Ahlat,38.7518,42.4814,289.9,67,38,1.31,TR,1654968836
92,Gimli,50.6336,-96.9907,290.84,59,74,2.0,CA,1654968837
93,Cockburn Town,21.4612,-71.1419,303.13,66,40,7.72,TC,1654968837
94,Hudiksvall,61.729,17.1036,292.63,47,36,5.52,SE,1654968838
95,Klamath Falls,42.2249,-121.7817,295.09,59,100,5.14,US,1654968839
96,Port Hardy,50.6996,-127.4199,286.25,76,75,3.09,CA,1654968839
97,Hermanus,-34.4187,19.2345,290.82,50,100,3.17,ZA,1654968703
98,Muros,42.7762,-9.0603,299.64,72,58,7.79,ES,1654968841
99,Touros,-5.1989,-35.4608,301.65,67,56,3.85,BR,1654968841
100,Esim,4.8699,-2.2405,299.19,77,89,4.93,GH,1654968842
101,Saint George,37.1041,-113.5841,310.9,14,19,1.34,US,1654968843
102,Norman Wells,65.282,-126.8329,285.17,71,75,5.66,CA,1654968843
103,Clyde River,70.4692,-68.5914,274.28,86,100,6.17,CA,1654968845
104,Codrington,-38.2667,141.9667,284.15,76,100,8.76,AU,1654968846
105,Vanimo,-2.6741,141.3028,298.05,89,44,1.82,PG,1654968846
106,Cabra,37.4725,-4.4421,309.07,17,5,0.45,ES,1654968847
107,Chachapoyas,-6.2317,-77.869,286.61,91,100,1.36,PE,1654968847
108,Quang Ngai,15.1167,108.8,298.63,83,89,2.01,VN,1654968848
109,Saint Paul Harbor,57.79,-152.4072,284.88,76,100,3.09,US,1654968854
110,Yar-Sale,66.8333,70.8333,288.46,77,58,3.64,RU,1654968855
111,Mīnāb,27.1467,57.0801,307.33,46,0,2.06,IR,1654968677
112,Hithadhoo,-0.6,73.0833,301.77,71,39,3.43,MV,1654968856
113,Sijunjung,-0.6876,100.9537,295.12,100,100,1.13,ID,1654968856
114,Ponta do Sol,32.6667,-17.1,298.55,76,0,0.29,PT,1654968857
115,Toamasina,-18.1667,49.3833,295.15,94,75,2.57,MG,1654968858
116,Yangi Marg`ilon,40.4272,71.7189,299.55,38,40,2.06,UZ,1654968858
117,Faanui,-16.4833,-151.75,299.64,77,30,8.29,PF,1654968859
118,Asău,46.4333,26.4,290.66,100,69,2.15,RO,1654968860
119,Mahébourg,-20.4081,57.7,296.31,73,75,6.17,MU,1654968861
120,La Rioja,42.25,-2.5,295.03,88,74,4.81,ES,1654968837
121,Kumul,42.8,93.45,298.71,9,0,3.04,CN,1654968862
122,Susanville,40.4163,-120.653,299.77,32,0,5.14,US,1654968863
123,Ribeira Grande,38.5167,-28.7,293.37,68,40,7.72,PT,1654968863
124,Katsuura,35.1333,140.3,291.43,94,100,12.52,JP,1654968864
125,Rameshki,57.3439,36.0453,288.06,94,14,2.44,RU,1654968865
126,Poddor'ye,57.4695,31.1156,289.84,90,70,1.32,RU,1654968865
127,Jiuquan,39.7432,98.5174,291.45,14,35,2.94,CN,1654968866
128,Virginia Beach,36.8529,-75.978,303.17,46,40,6.17,US,1654968866
129,Puerto Madryn,-42.7692,-65.0385,289.82,33,59,3.6,AR,1654968867
130,Fort Morgan,40.2503,-103.8,305.83,23,0,4.12,US,1654968868
131,Muli,2.9167,73.5667,301.25,75,59,4.39,MV,1654968868
132,Avarua,-21.2078,-159.775,296.18,68,40,2.06,CK,1654968671
133,Dryden,49.7833,-92.7503,291.31,48,0,5.14,CA,1654968869
134,Kilindoni,-7.9139,39.6668,299.4,74,1,8.96,TZ,1654968870
135,Mount Gambier,-37.8333,140.7667,283.51,76,100,4.62,AU,1654968870
136,Tonantins,-2.8731,-67.8022,298.32,84,98,2.95,BR,1654968872
137,Hobart,-42.8794,147.3294,277.18,88,75,13.38,AU,1654968872
138,Nizwá,22.9333,57.5333,308.33,20,0,1.95,OM,1654968873
139,Point Pedro,9.8167,80.2333,301.01,83,100,9.84,LK,1654968873
140,Wucheng,29.6008,118.175,292.43,95,98,1.23,CN,1654968874
141,Caborca,30.5838,-111.101,308.95,22,10,2.23,MX,1654968875
142,Bermeo,43.4209,-2.7215,295.82,85,69,2.43,ES,1654968875
143,Miandrivazo,-19.5167,45.4667,296.41,55,6,1.12,MG,1654968877
144,Nacala,-14.5428,40.6728,293.54,85,18,3.57,MZ,1654968877
145,Mahanoro,-19.9,48.8,293.8,83,34,1.72,MG,1654968878
146,Akçakoca,41.0866,31.1162,292.03,91,100,2.61,TR,1654968799
147,Yangambi,0.8102,24.4336,298.25,69,91,0.67,CD,1654968879
148,Torbay,47.6666,-52.7314,294.58,64,75,8.75,CA,1654968880
149,George Town,5.4112,100.3354,299.11,99,40,1.54,MY,1654968880
150,Sunrise Manor,36.2111,-115.0731,314.39,9,0,6.69,US,1654968881
151,Dordrecht,51.81,4.6736,295.41,55,14,2.68,NL,1654968591
152,Kiryat Gat,31.61,34.7642,305.59,39,0,3.37,IL,1654968882
153,Forchheim,49.7175,11.0588,299.47,55,64,1.73,DE,1654968600
154,Ezhou,30.4,114.8333,296.76,78,100,2.7,CN,1654968883
155,Ancud,-41.8697,-73.8203,282.95,72,100,3.08,CL,1654968884
156,Weyburn,49.6668,-103.8511,295.27,35,90,1.54,CA,1654968885
157,Castro,-24.7911,-50.0119,285.62,52,100,2.76,BR,1654968885
158,Kutum,14.2,24.6667,305.32,18,90,2.83,SD,1654968886
159,Balakovo,52.0278,47.8007,291.16,78,78,3.2,RU,1654968886
160,Hasaki,35.7333,140.8333,292.37,93,100,10.31,JP,1654968887
161,Nikolskoye,59.7035,30.7861,295.21,69,37,2.05,RU,1654968888
162,Rehoboth,-23.3167,17.0833,288.54,31,0,3.88,NA,1654968888
163,Anloga,5.7947,0.8973,298.52,87,100,7.07,GH,1654968889
164,Bambous Virieux,-20.3428,57.7575,296.29,73,75,6.17,MU,1654968890
165,Esil,51.9556,66.4042,288.36,84,83,2.84,KZ,1654968890
166,Lydenburg,-25.0978,30.4597,281.15,62,0,0.52,ZA,1654968891
167,Vryburg,-26.9566,24.7284,285.29,42,0,3.77,ZA,1654968891
168,Bredasdorp,-34.5322,20.0403,291.87,32,99,1.59,ZA,1654968893
169,Kafanchan,9.5833,8.3,296.77,79,53,1.63,NG,1654968893
170,Butaritari,3.0707,172.7902,300.61,76,25,5.01,KI,1654968894
171,Beian,63.6559,9.5683,290.2,59,75,3.09,NO,1654968895
172,Severo-Yeniseyskiy,60.3725,93.0408,285.6,60,91,2.18,RU,1654968895
173,Marrakesh,31.6315,-8.0083,308.19,38,75,4.12,MA,1654968605
174,Itarema,-2.9248,-39.9167,300.9,74,60,5.25,BR,1654968896
175,Geraldton,-28.7667,114.6,291.38,94,75,3.09,AU,1654968897
176,Colares,38.7992,-9.4469,303.97,61,20,8.23,PT,1654968898
177,Port Hedland,-20.3167,118.5667,293.18,88,100,2.06,AU,1654968898
178,Asadābād,34.7824,48.1185,294.97,26,0,2.39,IR,1654968618
179,Poronaysk,49.2167,143.1167,278.7,97,100,0.75,RU,1654968900
180,Saldanha,-33.0117,17.9442,292.18,71,100,4.32,ZA,1654968900
181,Mocuba,-16.8392,36.9856,290.2,96,58,1.78,MZ,1654968901
182,Maniitsoq,65.4167,-52.9,278.89,79,24,4.73,GL,1654968902
183,Aktash,50.3,87.7333,282.5,67,65,1.0,RU,1654968903
184,Rāmshīr,30.8946,49.4092,311.07,8,0,9.39,IR,1654968905
185,Mahibadhoo,3.7833,72.9667,301.43,75,72,4.73,MV,1654968906
186,Río Gallegos,-51.6226,-69.2181,283.18,53,75,3.6,AR,1654968907
187,Ifanadiana,-21.3,47.6333,289.22,99,38,0.41,MG,1654968907
188,Malaya Vishera,58.8454,32.2222,290.91,73,58,1.79,RU,1654968908
189,Savannah Bight,16.45,-85.85,300.66,75,78,8.8,HN,1654968909
190,Sinop Province,41.7711,34.8709,290.31,91,100,5.65,TR,1654968910
191,Pacifica,37.6138,-122.4869,303.49,78,20,5.14,US,1654968912
192,Okha,53.5739,142.9478,278.54,95,56,4.27,RU,1654968910
193,Fort-Shevchenko,44.5086,50.263,296.23,53,19,2.79,KZ,1654968913
